# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -20037 8 9 1048579 21131337 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 1048579 16177030 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 1048579 15481380 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 1048579 15481381 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 8 9 1048579 19933803 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 1048579 16177029 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.xml
DUPTYPE_FIRST_OCCURRENCE 19981 8 9 1048579 21829127 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 8 9 1048579 21936307 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 1048579 16795476 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 1048579 18044547 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 1048579 16795478 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 1048579 18044544 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -19981 8 9 1048579 21940314 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 8 9 1048579 21825191 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.html
DUPTYPE_FIRST_OCCURRENCE 20411 8 10 1048579 19849939 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.5acc90915fbe.xml
DUPTYPE_WITHIN_SAME_TREE -20411 9 10 1048579 13559125 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20411 8 10 1048579 19849825 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20411 9 10 1048579 13559126 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.5acc90915fbe.xml
DUPTYPE_FIRST_OCCURRENCE 20111 8 11 1048579 21793315 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.05b2263b1cf4.xml
DUPTYPE_WITHIN_SAME_TREE -20111 9 11 1048579 16527299 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.05b2263b1cf4.xml
DUPTYPE_WITHIN_SAME_TREE -20111 9 11 1048579 16527297 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.xml
DUPTYPE_WITHIN_SAME_TREE -20111 8 11 1048579 21790890 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.xml
DUPTYPE_FIRST_OCCURRENCE 20401 8 14 1048579 19933857 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.1f48752b70b4.xml
DUPTYPE_WITHIN_SAME_TREE -20401 9 14 1048579 15674476 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.1f48752b70b4.xml
DUPTYPE_WITHIN_SAME_TREE -20401 9 14 1048579 15674475 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.xml
DUPTYPE_WITHIN_SAME_TREE -20401 8 14 1048579 19930355 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.xml
DUPTYPE_FIRST_OCCURRENCE 20159 8 16 1048579 19933894 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.347e65afd1eb.html
